Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Charlie Paquette,NO,23,,2005.0,6.02,207,RW,Guelph Storm,44,18,21,39,0.89,-11,5,6,1,3,16,11,28.2,40.5
Max Namestnikov,NO,26,,2004.0,5.08,184,LW,Guelph Storm,42,14,16,30,0.71,-25,4,4,2,0,40,8,26.7,-13.0
Jett Luchanko,NO,7,,2006.0,5.11,191,C,Guelph Storm,22,11,16,27,1.23,1,2,3,3,0,23,5,18.5,24.0
Lev Katzin,YES,33,,2007.0,5.8,176,C,Guelph Storm,20,7,20,27,1.35,5,1,8,0,3,6,9,33.3,43.0
Rylan Singh,NO,4,,2007.0,5.11,187,D,Guelph Storm,44,2,18,20,0.45,-30,0,8,0,0,14,8,40.0,-13.0
Carter Stevens,YES,96,,2008.0,6.01,184,C,Guelph Storm,43,9,10,19,0.44,-11,5,5,0,0,28,10,52.6,-6.0
Parker Snelgrove,NO,9,,2007.0,6.00,189,C,Guelph Storm,44,9,10,19,0.43,-9,0,0,0,0,25,0,0.0,-1.0
Quinn Beauchesne,NO,13,,2007.0,6.00,187,D,Guelph Storm,33,4,13,17,0.52,-5,0,5,0,1,36,5,29.4,-13.5
Wil McFadden,NO,93,,2007.0,5.08,170,C,Guelph Storm,39,4,12,16,0.41,-5,1,2,0,0,6,3,18.8,15.0
Alex McLean,YES,8,,2008.0,5.10,173,C,Guelph Storm,37,7,8,15,0.41,-18,2,2,2,0,4,4,26.7,4.0
Daniil Skvortsov,YES,59,,2007.0,6.04,200,D,Guelph Storm,39,5,10,15,0.38,-17,1,0,0,0,8,1,6.7,0.0
Hunter McKenzie,NO,72,,2006.0,6.00,193,LW,Guelph Storm,43,8,6,14,0.33,-13,0,0,1,1,19,0,0.0,-7.0
Leo Serlin,NO,20,,2006.0,6.00,190,RW,Guelph Storm,44,6,7,13,0.3,-27,1,0,0,0,6,1,7.7,-10.5
Jake Karabela,NO,10,,2004.0,5.11,188,C,Guelph Storm,24,5,8,13,0.54,-14,2,5,0,0,19,7,53.8,-11.0
Noah Jenken,YES,19,,2007.0,6.03,190,D,Guelph Storm,39,2,9,11,0.28,-1,0,1,0,0,18,1,9.1,-1.5
Ryan McGuire,NO,12,,2004.0,5.11,192,C,Guelph Storm,20,6,3,9,0.45,-9,0,0,2,0,33,0,0.0,-25.5
Justin Bottineau,NO,77,,2006.0,6.00,168,RW,Guelph Storm,33,4,5,9,0.27,0,0,0,0,0,23,0,0.0,-7.5
Sam Johnston,YES,14,,2007.0,6.04,187,RW,Guelph Storm,17,2,1,3,0.18,0,0,0,0,0,12,0,0.0,-6.5
Jimmy Sutherland,YES,29,,2007.0,5.09,160,LW,Guelph Storm,23,1,2,3,0.13,-9,0,0,0,0,6,0,0.0,-10.0
Rowan Topp,NO,2,,2006.0,6.02,203,D,Guelph Storm,30,0,3,3,0.1,-14,0,0,0,0,39,0,0.0,-48.5
Grant Spada,YES,21,,2007.0,6.04,185,D,Guelph Storm,37,0,3,3,0.08,-18,0,0,0,0,56,0,0.0,-69.5
Lucas Teixeira,YES,27,,2007.0,6.01,185,C,Guelph Storm,6,0,2,2,0.33,0,0,0,0,0,0,0,0.0,3.0
Eric Frossard,YES,3,,2008.0,6.04,195,D,Guelph Storm,9,0,0,0,0.0,-4,0,0,0,0,2,0,,-6.0
