Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Sam Alfano,NO,33,,2004.0,6.04,204,RW,Erie Otters,46,29,27,56,1.22,11,8,3,2,1,41,11,19.6,68.5
Pano Fimis,NO,98,,2004.0,5.11,183,C,Erie Otters,46,19,37,56,1.22,15,3,14,2,1,26,17,30.4,82.5
Malcolm Spence,NO,17,,2006.0,6.02,201,LW,Erie Otters,44,20,30,50,1.14,13,4,5,5,1,28,9,18.0,70.0
Carey Terrance,NO,10,,2005.0,6.01,186,C,Erie Otters,40,17,17,34,0.85,-1,2,6,1,2,10,8,23.5,48.5
Dylan Edwards,NO,11,,2005.0,5.08,169,RW,Erie Otters,44,13,20,33,0.75,-5,5,5,3,1,20,10,30.3,31.0
Martin Misiak,NO,90,,2004.0,6.02,200,C,Erie Otters,38,14,18,32,0.84,-17,7,5,3,0,12,12,37.5,26.0
Gabriel Frasca,NO,86,,2006.0,6.01,180,C,Erie Otters,44,10,15,25,0.57,-12,2,5,0,1,26,7,28.0,4.5
Matthew Schaefer,NO,48,,2007.0,6.02,183,D,Erie Otters,17,7,15,22,1.29,21,2,6,2,0,8,8,36.4,49.5
Alexis Daviault,NO,72,,2005.0,6.00,184,D,Erie Otters,43,4,17,21,0.49,-25,1,7,0,0,56,8,38.1,-47.5
Ty Henry,NO,2,,2006.0,6.04,210,D,Erie Otters,43,1,16,17,0.4,-5,0,5,0,0,62,5,29.4,-41.0
Wesley Royston,NO,77,,2007.0,6.03,174,RW,Erie Otters,42,10,6,16,0.38,-2,2,0,2,1,36,2,12.5,-9.0
Callum Hughes,NO,9,,2006.0,6.01,170,LW,Erie Otters,25,6,7,13,0.52,-6,0,2,0,0,4,2,15.4,12.5
Brett Hammond,NO,91,,2006.0,6.02,188,RW,Erie Otters,42,4,5,9,0.21,-8,0,1,2,0,15,1,11.1,-7.5
Quinn McCall,NO,37,,2005.0,5.11,181,D,Erie Otters,16,1,5,6,0.38,8,0,1,0,0,15,1,16.7,2.5
Nathan Sauder,NO,5,,2005.0,6.01,202,D,Erie Otters,46,1,5,6,0.13,22,0,0,0,1,37,0,0.0,-5.5
Nicholas Holomego,NO,65,,2006.0,6.05,203,D,Erie Otters,39,0,6,6,0.15,-9,0,0,0,0,25,0,0.0,-25.0
Alex Messier,NO,21,,2005.0,6.03,213,LW,Erie Otters,46,1,3,4,0.09,-6,0,0,0,0,26,0,0.0,-25.5
Lucas Ambrosio,YES,73,,2008.0,6.04,190,D,Erie Otters,30,2,1,3,0.1,1,0,0,0,0,23,0,0.0,-16.5
Tyler Challenger,YES,84,,2008.0,6.02,198,C,Erie Otters,41,2,1,3,0.07,-4,1,0,0,0,8,1,33.3,-6.5
Oliver Phillips,YES,71,,2007.0,6.06,207,LW,Erie Otters,29,0,2,2,0.07,-4,0,0,0,0,6,0,0.0,-7.0
Andrew Willis,YES,39,,2008.0,6.00,160,D,Erie Otters,5,0,1,1,0.2,1,0,0,0,0,0,0,0.0,2.5
Michael D'Alessio,YES,7,,2008.0,6.01,170,D,Erie Otters,6,0,0,0,0.0,-3,0,0,0,0,2,0,,-5.0
Garrett Frazer,NO,8,,2006.0,6.00,180,D,Erie Otters,11,0,0,0,0.0,-9,0,0,0,0,8,0,,-17.0
Keagan Knight,YES,23,,2007.0,6.01,197,D,Erie Otters,17,0,0,0,0.0,-3,0,0,0,0,8,0,,-11.0
