Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Denver Barkey,NO,86,,2005.0,5.10,171,LW,London Knights,38,17,43,60,1.58,32,7,17,1,1,20,24,40.0,110.5
Sam Dickinson,NO,3,,2006.0,6.03,210,D,London Knights,35,20,38,58,1.66,34,10,11,4,0,18,21,36.2,113.0
Sam O'Reilly,NO,23,,2006.0,6.01,190,C,London Knights,44,18,26,44,1.0,36,4,8,4,0,22,12,27.3,89.0
Cam Allen,NO,17,,2005.0,6.00,197,D,London Knights,42,11,31,42,1.0,16,3,6,1,0,45,9,21.4,39.5
William Nicholl,NO,73,,2006.0,6.00,184,C,London Knights,44,12,27,39,0.89,22,2,2,1,0,16,4,10.3,70.5
Blake Montgomery,NO,47,,2005.0,6.04,195,LW,London Knights,30,19,19,38,1.27,30,1,4,3,0,4,5,13.2,92.5
Easton Cowan,NO,7,,2005.0,6.00,185,RW,London Knights,27,17,20,37,1.37,12,5,8,4,2,24,13,35.1,52.0
Jacob Julien,NO,13,,2004.0,6.04,190,C,London Knights,46,9,24,33,0.72,4,3,7,4,0,34,10,30.3,24.0
Landon Sim,NO,90,,2004.0,5.11,185,LW,London Knights,36,21,11,32,0.89,18,5,1,2,1,70,6,18.8,6.5
Evan Van Gorp,NO,14,,2006.0,5.10,165,LW,London Knights,45,14,17,31,0.69,15,2,3,4,2,8,5,16.1,60.5
Henry Brzustewicz,NO,2,,2007.0,6.01,194,D,London Knights,45,8,22,30,0.67,15,2,9,1,0,64,11,36.7,0.0
Oliver Bonk,NO,59,,2005.0,6.02,210,D,London Knights,33,8,20,28,0.85,21,2,10,1,0,20,12,42.9,47.0
Jared Woolley,NO,51,,2006.0,6.05,207,D,London Knights,46,6,15,21,0.46,39,1,1,0,0,57,2,9.5,16.5
Jesse Nurmi,NO,44,,2005.0,6.00,180,LW,London Knights,37,6,13,19,0.51,6,0,3,0,0,10,3,15.8,27.5
Kasper Halttunen,NO,12,,2005.0,6.03,207,RW,London Knights,18,5,13,18,1.0,9,2,3,2,0,17,5,27.8,21.5
Noah Read,YES,92,,2007.0,6.00,170,C,London Knights,28,5,10,15,0.54,5,0,2,0,0,14,2,13.3,16.0
Rene Van Bommel,NO,55,,2006.0,5.11,185,LW,London Knights,38,3,10,13,0.34,10,0,0,0,0,52,0,0.0,-21.0
Noah Aboflan,NO,74,,2005.0,6.00,192,LW,London Knights,31,4,4,8,0.26,6,0,1,0,0,33,1,12.5,-13.0
Andoni Fimis,NO,4,,2006.0,6.01,185,D,London Knights,18,1,4,5,0.28,8,0,0,1,0,0,0,0.0,16.0
PJ Fagan II,YES,67,,2007.0,6.01,205,D,London Knights,31,2,2,4,0.13,-1,0,0,1,0,24,0,0.0,-18.0
Ryder Boulton,NO,11,,2006.0,5.10,194,LW,London Knights,24,1,2,3,0.13,6,0,0,0,0,61,0,0.0,-50.0
Liam Spencer,NO,49,,2006.0,6.05,220,D,London Knights,24,0,1,1,0.04,2,0,0,0,0,19,0,0.0,-15.5
