Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Ethan Procyszyn,NO,21,,2006.0,6.03,192,C,North Bay Battalion,43,25,17,42,0.98,-8,14,2,2,1,54,16,38.1,13.5
Jacob LeBlanc,NO,18,,2004.0,6.01,186,D,North Bay Battalion,43,6,33,39,0.91,-24,1,17,0,0,16,18,46.2,21.5
Shamar Moses,NO,24,,2007.0,6.01,202,LW,North Bay Battalion,41,10,25,35,0.85,-8,3,16,2,1,29,19,54.3,20.5
Zach Wigle,NO,26,,2004.0,6.00,193,C,North Bay Battalion,43,8,18,26,0.6,6,0,2,2,3,4,2,7.7,45.0
Jacob Therrien,NO,6,,2006.0,5.08,170,RW,North Bay Battalion,33,7,13,20,0.61,-26,5,8,1,0,59,13,65.0,-51.5
Lirim Amidovski,NO,29,,2006.0,6.01,175,RW,North Bay Battalion,42,10,7,17,0.4,-15,1,1,4,1,29,2,11.8,-13.5
Andrew LeBlanc,NO,27,,2004.0,6.00,183,C,North Bay Battalion,35,7,7,14,0.4,-22,1,2,2,0,32,3,21.4,-29.5
Nick Wellenreiter,NO,28,,2006.0,5.11,167,RW,North Bay Battalion,20,6,5,11,0.55,-12,0,2,1,0,4,2,18.2,3.5
Nolan Laird,NO,19,,2006.0,6.01,180,C,North Bay Battalion,40,7,3,10,0.25,-7,0,0,0,0,26,0,0.0,-14.5
Ryder Carey,YES,11,,2008.0,6.00,176,C,North Bay Battalion,43,4,6,10,0.23,-14,0,1,0,0,19,1,10.0,-16.0
Kent Greer,YES,5,,2008.0,5.08,163,D,North Bay Battalion,36,3,7,10,0.28,-2,1,0,0,0,10,1,10.0,4.5
Parker Vaughan,YES,16,,2008.0,6.01,189,RW,North Bay Battalion,39,5,4,9,0.23,2,0,0,2,0,19,0,0.0,-1.0
Reyth Smith,YES,20,,2007.0,6.02,173,LW,North Bay Battalion,39,4,4,8,0.21,0,0,0,0,0,36,0,0.0,-22.0
Aaron Enright,YES,4,,2007.0,6.00,211,D,North Bay Battalion,34,2,6,8,0.24,4,1,0,0,0,12,1,12.5,5.0
Stepan Chukharev,YES,23,,2007.0,6.02,192,RW,North Bay Battalion,30,2,4,6,0.2,0,0,0,0,0,11,0,0.0,-1.0
Adrian Manzo,NO,2,,2007.0,6.00,183,D,North Bay Battalion,37,1,4,5,0.14,-4,0,0,0,0,8,0,0.0,-4.0
Briir Long,YES,9,,2007.0,5.11,154,C,North Bay Battalion,29,2,2,4,0.14,-5,0,0,0,0,15,0,0.0,-13.0
Brayden Turley,NO,7,,2006.0,6.01,195,D,North Bay Battalion,42,0,4,4,0.1,-16,0,0,0,0,48,0,0.0,-58.0
Bronson Ride,NO,25,,2005.0,6.07,212,D,North Bay Battalion,43,0,4,4,0.09,-18,0,0,0,0,59,0,0.0,-71.0
Ihnat Pazii,NO,13,,2006.0,5.09,156,LW,North Bay Battalion,13,0,3,3,0.23,0,0,1,0,0,7,1,33.3,-2.5
Zach Wilson,YES,22,,2007.0,6.06,187,D,North Bay Battalion,26,1,1,2,0.08,-3,0,0,0,0,18,0,0.0,-17.5
