Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Ethan Procyszyn,NO,21,,2006.0,6.03,192,C,North Bay Battalion,45,26,18,44,0.98,-11,15,3,2,1,54,18,40.9,14.0
Jacob LeBlanc,NO,18,,2004.0,6.01,186,D,North Bay Battalion,45,6,34,40,0.89,-27,1,18,0,0,18,19,47.5,18.0
Shamar Moses,NO,24,,2007.0,6.01,202,LW,North Bay Battalion,43,10,26,36,0.84,-12,3,17,2,1,31,20,55.6,16.0
Zach Wigle,NO,26,,2004.0,6.00,193,C,North Bay Battalion,45,9,18,27,0.6,6,0,2,2,3,4,2,7.4,47.0
Jacob Therrien,NO,6,,2006.0,5.08,170,RW,North Bay Battalion,34,7,13,20,0.59,-26,5,8,1,0,63,13,65.0,-55.5
Andrew LeBlanc,NO,27,,2004.0,6.00,183,C,North Bay Battalion,37,8,10,18,0.49,-24,2,3,2,0,32,5,27.8,-25.0
Lirim Amidovski,NO,29,,2006.0,6.01,175,RW,North Bay Battalion,44,10,7,17,0.39,-17,1,1,4,1,29,2,11.8,-15.5
Nick Wellenreiter,NO,28,,2006.0,5.11,167,RW,North Bay Battalion,22,6,5,11,0.5,-14,0,2,1,0,4,2,18.2,1.5
Parker Vaughan,YES,16,,2008.0,6.01,189,RW,North Bay Battalion,41,6,5,11,0.27,1,0,0,2,0,19,0,0.0,1.5
Kent Greer,YES,5,,2008.0,5.08,163,D,North Bay Battalion,38,3,8,11,0.29,-5,1,0,0,0,12,1,9.1,1.0
Nolan Laird,NO,19,,2006.0,6.01,180,C,North Bay Battalion,41,7,3,10,0.24,-7,0,0,0,0,28,0,0.0,-16.5
Ryder Carey,YES,11,,2008.0,6.00,176,C,North Bay Battalion,45,4,6,10,0.22,-15,0,1,0,0,19,1,10.0,-17.0
Reyth Smith,YES,20,,2007.0,6.02,173,LW,North Bay Battalion,40,4,4,8,0.2,-1,0,0,0,0,38,0,0.0,-25.0
Aaron Enright,YES,4,,2007.0,6.00,211,D,North Bay Battalion,35,2,6,8,0.23,2,1,0,0,0,14,1,12.5,1.0
Stepan Chukharev,YES,23,,2007.0,6.02,192,RW,North Bay Battalion,31,2,4,6,0.19,-1,0,0,0,0,13,0,0.0,-4.0
Briir Long,YES,9,,2007.0,5.11,154,C,North Bay Battalion,31,3,2,5,0.16,-6,0,0,0,0,15,0,0.0,-12.0
Adrian Manzo,NO,2,,2007.0,6.00,183,D,North Bay Battalion,39,1,4,5,0.13,-5,0,0,0,0,8,0,0.0,-5.0
Brayden Turley,NO,7,,2006.0,6.01,195,D,North Bay Battalion,44,0,4,4,0.09,-17,0,0,0,0,50,0,0.0,-61.0
Bronson Ride,NO,25,,2005.0,6.07,212,D,North Bay Battalion,45,0,4,4,0.09,-19,0,0,0,0,61,0,0.0,-74.0
Ihnat Pazii,NO,13,,2006.0,5.09,156,LW,North Bay Battalion,15,0,3,3,0.2,-2,0,1,0,0,9,1,33.3,-6.5
Zach Wilson,YES,22,,2007.0,6.06,187,D,North Bay Battalion,27,1,1,2,0.07,-4,0,0,0,0,18,0,0.0,-18.5
