Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Marco Mignosa,NO,26,,2005.0,5.11,170,RW,Soo Greyhounds,36,19,26,45,1.25,-5,2,14,2,0,13,16,35.6,59.0
Justin Cloutier,NO,24,,2005.0,5.09,186,RW,Soo Greyhounds,46,23,17,40,0.87,5,5,6,1,2,53,11,27.5,23.5
Brady Martin,NO,44,,2007.0,6.00,174,C,Soo Greyhounds,36,18,18,36,1.0,14,7,2,1,1,48,9,25.0,29.0
Noel Nordh,NO,43,,2005.0,6.02,198,LW,Soo Greyhounds,25,10,17,27,1.08,-1,4,8,1,0,4,12,44.4,40.5
Owen Allard,NO,14,,2004.0,6.02,200,C,Soo Greyhounds,23,12,11,23,1.0,-6,7,2,3,1,0,9,39.1,34.5
Travis Hayes,NO,13,,2007.0,5.11,169,RW,Soo Greyhounds,43,11,12,23,0.53,0,1,1,0,0,34,2,8.7,6.0
Chase Reid,YES,25,,2007.0,6.02,185,D,Soo Greyhounds,18,2,21,23,1.28,7,1,8,0,0,20,9,39.1,22.5
Brady R Smith,YES,12,,2007.0,5.11.,173,LW,Soo Greyhounds,35,4,11,15,0.43,-19,1,1,1,0,10,2,13.3,-4.5
Caeden Carlisle,NO,7,,2004.0,6.01.,197,D,Soo Greyhounds,44,1,13,14,0.32,-12,0,4,0,0,56,4,28.6,-46.5
Jordan Charron,YES,27,,2007.0,6.02,190,RW,Soo Greyhounds,26,7,5,12,0.46,-17,0,0,1,0,23,0,0.0,-18.5
Carson Andrew,YES,71,,2008.0,6.01,184,RW,Soo Greyhounds,46,5,7,12,0.26,-17,0,1,1,0,8,1,8.3,-4.5
Brodie McConnell-Barker,NO,8,,2006.0,5.11.,185,D,Soo Greyhounds,34,2,10,12,0.35,-7,0,2,2,0,18,2,16.7,-6.0
Brady T Smith,YES,11,,2008.0,6.00,181,RW,Soo Greyhounds,44,5,6,11,0.25,-10,2,3,1,0,16,5,45.5,-7.0
Hunter Solomon,YES,17,,2007.0,6.00.,180,D,Soo Greyhounds,46,2,8,10,0.22,-16,0,0,0,0,19,0,0.0,-19.0
Spencer Evans,NO,16,,2006.0,6.00,189,D,Soo Greyhounds,31,1,8,9,0.29,-7,0,1,0,0,34,1,11.1,-27.0
Charlie Hilton,NO,20,,2006.0,6.05,212,LW,Soo Greyhounds,39,2,5,7,0.18,-10,0,1,0,0,47,1,14.3,-45.5
Erik Muxlow,YES,22,,2007.0,5.10.,183,LW,Soo Greyhounds,42,1,6,7,0.17,-14,0,0,0,0,6,0,0.0,-9.0
David Holub,YES,23,,2007.0,5.09,180,D,Soo Greyhounds,40,3,3,6,0.15,-12,0,0,0,0,14,0,0.0,-15.5
Christopher Brown,NO,67,,2006.0,5.11.,180,C,Soo Greyhounds,20,2,3,5,0.25,-2,0,1,1,0,6,1,20.0,0.5
Keegan Gillen,YES,3,,2007.0,5.10.,180,D,Soo Greyhounds,38,0,5,5,0.13,-6,0,0,0,0,13,0,0.0,-11.5
Tate Vader,NO,9,,2006.0,5.11,190,C,Soo Greyhounds,41,1,0,1,0.02,-16,0,0,0,0,20,0,0.0,-34.0
Brayden Velliaris,NO,18,,2005.0,6.04,220,D,Soo Greyhounds,32,0,1,1,0.03,-7,0,0,0,0,41,0,0.0,-46.5
