Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Riley Patterson,NO,21,,2006.0,6.00 ,194,C,Barrie Colts,45,19,24,43,0.96,20,3,8,2,0,15,11,25.6,79.0
Dalyn Wakely,NO,81,,2004.0,6.01,198,C,Barrie Colts,39,19,21,40,1.03,16,6,8,5,1,39,14,35.0,46.5
Beau Jelsma,NO,53,,2004.0,5.10,180,C,Barrie Colts,38,16,23,39,1.03,8,5,5,1,2,28,10,25.6,46.5
Kashawn Aitcheson,NO,77,,2006.0,6.01,198,D,Barrie Colts,44,15,20,35,0.8,10,7,9,3,0,67,16,45.7,3.0
Cole Beaudoin,NO,29,,2006.0,6.02,211,C,Barrie Colts,32,15,18,33,1.03,0,6,6,4,1,2,12,36.4,55.0
Emil Hemming,NO,28,,2006.0,6.01,205,RW,Barrie Colts,41,12,20,32,0.78,6,5,7,2,0,16,12,37.5,44.0
Tristan Bertucci,NO,12,,2005.0,6.02,187,D,Barrie Colts,47,5,27,32,0.68,18,2,10,1,1,41,12,37.5,27.5
Owen Van Steensel,NO,19,,2004.0,5.10,185,LW,Barrie Colts,47,13,18,31,0.66,-18,5,5,2,0,30,10,32.3,5.0
Brad Gardiner,NO,25,,2005.0,6.01,185,C,Barrie Colts,45,14,16,30,0.67,9,3,2,4,0,16,5,16.7,45.0
Carter Lowe,NO,85,,2006.0,6.03,215,LW,Barrie Colts,47,13,15,28,0.6,8,1,4,1,1,8,5,17.9,48.5
Bode Stewart,NO,71,,2006.0,6.01,175,LW,Barrie Colts,44,3,23,26,0.59,12,0,3,0,0,20,3,11.5,32.5
Beau Akey,NO,86,,2005.0,6.00,183,D,Barrie Colts,36,4,21,25,0.69,12,0,9,0,1,24,9,36.0,27.5
Grayson Tiller,NO,8,,2005.0,5.10,193,D,Barrie Colts,46,7,5,12,0.26,-1,0,0,1,0,58,0,0.0,-37.5
Michael Derbidge,NO,91,,2005.0,6.01,199,LW,Barrie Colts,32,5,5,10,0.31,-6,0,0,2,0,22,0,0.0,-10.5
Evan Passmore,NO,88,,2006.0,6.04,210,D,Barrie Colts,41,3,6,9,0.22,10,0,0,0,0,35,0,0.0,-10.0
Jaiden Newton,NO,84,,2007.0,5.11,180,C,Barrie Colts,43,1,8,9,0.21,4,0,0,0,0,27,0,0.0,-9.0
Anthony Romani,NO,15,,2005.0,6.01,190,RW,Barrie Colts,14,5,3,8,0.57,-7,1,2,0,3,2,3,37.5,5.5
Gabriel Eliasson,NO,78,,2006.0,6.07,214,D,Barrie Colts,42,2,3,5,0.12,10,0,0,1,0,88,0,0.0,-69.5
Justin Handsor,YES,16,,2007.0,6.01,196,D,Barrie Colts,33,0,3,3,0.09,-4,0,0,0,0,14,0,0.0,-13.5
Jack Martin,NO,74,,2006.0,5.11,170,RW,Barrie Colts,13,0,1,1,0.08,-1,0,0,0,0,2,0,0.0,-1.5
Cole Dubowsky,YES,27,,2007.0,6.00,184,LW,Barrie Colts,17,0,1,1,0.06,-5,0,0,0,0,35,0,0.0,-38.5
Ethan Armstrong,YES,23,,2007.0,6.02,172,D,Barrie Colts,2,0,0,0,0.0,-1,0,0,0,0,0,0,,-1.0
